stt,age,inc,eth,sex,edu,kid,mar,pop2008
AL,18-29,$20-40k,Black,Male,Coll,Kids,Single,187
AL,18-29,$20-40k,Black,Male,Coll,No Kids,Married,43
AL,18-29,$20-40k,Black,Male,Coll,No Kids,Single,714
AL,18-29,$20-40k,Black,Male,Post-Grad,Kids,Married,62
AL,18-29,$20-40k,Black,Male,Post-Grad,Kids,Single,0
AL,18-29,$20-40k,Black,Male,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Black,Male,Post-Grad,No Kids,Single,191
AL,18-29,$20-40k,Black,Female,< HS,Kids,Married,318
AL,18-29,$20-40k,Black,Female,< HS,Kids,Single,3054
AL,18-29,$20-40k,Black,Female,< HS,No Kids,Married,117
AL,18-29,$20-40k,Black,Female,< HS,No Kids,Single,2538
AL,18-29,$20-40k,Black,Female,HS,Kids,Married,2087
AL,18-29,$20-40k,Black,Female,HS,Kids,Single,3649
AL,18-29,$20-40k,Black,Female,HS,No Kids,Married,361
AL,18-29,$20-40k,Black,Female,HS,No Kids,Single,5136
AL,18-29,$20-40k,Black,Female,Some Coll,Kids,Married,1073
AL,18-29,$20-40k,Black,Female,Some Coll,Kids,Single,3872
AL,18-29,$20-40k,Black,Female,Some Coll,No Kids,Married,505
AL,18-29,$20-40k,Black,Female,Some Coll,No Kids,Single,6990
AL,18-29,$20-40k,Black,Female,Coll,Kids,Married,82
AL,18-29,$20-40k,Black,Female,Coll,Kids,Single,640
AL,18-29,$20-40k,Black,Female,Coll,No Kids,Married,166
AL,18-29,$20-40k,Black,Female,Coll,No Kids,Single,1925
AL,18-29,$20-40k,Black,Female,Post-Grad,Kids,Married,54
AL,18-29,$20-40k,Black,Female,Post-Grad,Kids,Single,119
AL,18-29,$20-40k,Black,Female,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Black,Female,Post-Grad,No Kids,Single,252
AL,18-29,$20-40k,Hispanic,Male,< HS,Kids,Married,37
AL,18-29,$20-40k,Hispanic,Male,< HS,Kids,Single,61
AL,18-29,$20-40k,Hispanic,Male,< HS,No Kids,Married,57
AL,18-29,$20-40k,Hispanic,Male,< HS,No Kids,Single,222
AL,18-29,$20-40k,Hispanic,Male,HS,Kids,Married,134
AL,18-29,$20-40k,Hispanic,Male,HS,Kids,Single,72
AL,18-29,$20-40k,Hispanic,Male,HS,No Kids,Married,33
AL,18-29,$20-40k,Hispanic,Male,HS,No Kids,Single,147
AL,18-29,$20-40k,Hispanic,Male,Some Coll,Kids,Married,12
AL,18-29,$20-40k,Hispanic,Male,Some Coll,Kids,Single,28
AL,18-29,$20-40k,Hispanic,Male,Some Coll,No Kids,Married,0
AL,18-29,$20-40k,Hispanic,Male,Some Coll,No Kids,Single,88
AL,18-29,$20-40k,Hispanic,Male,Coll,Kids,Married,0
AL,18-29,$20-40k,Hispanic,Male,Coll,Kids,Single,0
AL,18-29,$20-40k,Hispanic,Male,Coll,No Kids,Married,0
AL,18-29,$20-40k,Hispanic,Male,Coll,No Kids,Single,22
AL,18-29,$20-40k,Hispanic,Male,Post-Grad,Kids,Married,0
AL,18-29,$20-40k,Hispanic,Male,Post-Grad,Kids,Single,0
AL,18-29,$20-40k,Hispanic,Male,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Hispanic,Male,Post-Grad,No Kids,Single,3
AL,18-29,$20-40k,Hispanic,Female,< HS,Kids,Married,39
AL,18-29,$20-40k,Hispanic,Female,< HS,Kids,Single,19
AL,18-29,$20-40k,Hispanic,Female,< HS,No Kids,Married,58
AL,18-29,$20-40k,Hispanic,Female,< HS,No Kids,Single,83
AL,18-29,$20-40k,Hispanic,Female,HS,Kids,Married,36
AL,18-29,$20-40k,Hispanic,Female,HS,Kids,Single,142
